Entidad,ID CTT,SNPA01,SNPA02,SNPA03,SNPA04,SNPA05,SNPA06,SNPA07,SNPA08,SNPA09,SNPA10,SNPA11,SNPA12,MI01,MI02,MI03,MI04,MI05,MI06,MI07,MI08,MI09,MI10,FEM01,FEM02,FEM03,FEM04,FEM05,FEM06,FEM07,FEM08
YUCATAN,3320,0.444067553,0.507965569,0.488848535,0.41389781,0.499952855,0.504104712,0.524519033,0.480046745,0.216173624,0.481602938,0.504803623,0.490690362,0.867748856,0.761373704,0.744210836,0.708291375,0.811717464,0.679954929,0.711279596,0.674626211,0.856126121,0.750774345,0.562965643,0.539393818,0.562693027,0.438689996,0.553290338,0.48813894,0.420412094,0.497628839
YUCATAN,3321,0.471964261,0.552714577,0.539359347,0.39853708,0.448065273,0.463239452,0.536225407,0.499014748,0.405926424,0.507081488,0.542575469,0.514214768,0.466360394,0.517561098,0.46438411,0.504887976,0.509198027,0.516569103,0.525974272,0.516607713,0.512211692,0.532061873,0.535631189,0.53687551,0.541560095,0.451226451,0.538101105,0.519999042,0.367270677,0.438999034
YUCATAN,3322,0.741150021,0.774564638,0.722881415,0.718714797,0.699157151,0.700326333,0.760438446,0.780601737,0.765814261,0.698652463,0.7874773,0.667275718,0.806097849,0.631056995,0.691254282,0.692082503,0.659446458,0.662502607,0.71352416,0.662810444,0.793874054,0.655917294,0.686049958,0.673829116,0.696287258,0.642755392,0.68539465,0.574655281,0.638926545,0.539777915
YUCATAN,3323,0.789046694,0.81562404,0.804489843,0.757934842,0.830751918,0.838756878,0.78502947,0.7686727,0.613857644,0.655376586,0.808800742,0.492139019,0.795161473,0.729980021,0.788724244,0.774404342,0.814983593,0.719964933,0.792956393,0.788626732,0.697434996,0.786882215,0.657406261,0.662833193,0.666255295,0.61046449,0.659926721,0.642157796,0.523699336,0.540352862
YUCATAN,3324,0.775167173,0.78303884,0.753117102,0.720081304,0.8315175,0.822129832,0.761440761,0.762440925,0.69144089,0.678965159,0.747793242,0.648560724,0.920120311,0.872004591,0.826450538,0.843629502,0.864451455,0.724140171,0.871271767,0.823774592,0.908535399,0.871421001,0.755401469,0.727822508,0.751736697,0.69906402,0.7483115,0.605198146,0.657957713,0.541427255
YUCATAN,3325,0.947498023,0.930780966,0.911574493,0.946453891,0.931599642,0.89960502,0.838767927,0.95292086,0.937135619,0.854355841,0.952060229,0.744537014,0.987948214,0.957054318,0.967870754,0.953039634,0.957549568,0.73949289,0.977603629,0.947198441,0.955001157,0.968316847,0.970376694,0.936661396,0.968117718,0.964308777,0.960610721,0.836422036,0.965685229,0.874857527
YUCATAN,3326,0.436273949,0.515436588,0.508209038,0.375447212,0.481398275,0.50448432,0.520639327,0.454138047,0.28596815,0.502155534,0.502024566,0.444591759,0.582776268,0.555128625,0.536512981,0.53502713,0.588740042,0.533427706,0.576713417,0.479952637,0.631307452,0.559948015,0.595687971,0.604846586,0.609595281,0.526581963,0.607699749,0.541850065,0.475921781,0.503252375
YUCATAN,3327,0.645626028,0.667277409,0.654090761,0.54648777,0.624194571,0.602833616,0.648220126,0.607814576,0.553691804,0.598477685,0.63840598,0.564962888,0.455274248,0.548280495,0.546612937,0.563283616,0.558880432,0.550112116,0.57998268,0.571318565,0.459467809,0.567280625,0.527368311,0.529716997,0.53652929,0.429088886,0.527156086,0.520548323,0.441741106,0.516363932
YUCATAN,3328,0.665856373,0.705151751,0.655860229,0.558702384,0.687264975,0.703644788,0.694957891,0.69874156,0.618931652,0.634160297,0.714914576,0.531631075,0.784546599,0.768941762,0.730301253,0.737250076,0.77674598,0.68689591,0.739083281,0.679594194,0.803752899,0.696310456,0.701531106,0.66843944,0.717750146,0.691436253,0.71410826,0.643440421,0.683086013,0.637983045
YUCATAN,3329,0.63693608,0.680276644,0.636272261,0.649489011,0.56302267,0.571836275,0.6500054,0.693139935,0.65734478,0.590928314,0.683455984,0.510890219,0.78384525,0.623786567,0.726501452,0.634055373,0.683427118,0.58548557,0.706743154,0.681165661,0.744398655,0.687354337,0.546155595,0.54309938,0.552621007,0.419459598,0.548325169,0.493590443,0.364556822,0.399911888
