,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,P1,P2,P3
408,F,B,B,A,A,C,,E,A,C,A,B,A,,
409,F,A,B,A,A,C,,E,B,A,A,C,A,B,C
410,F,A,B,A,A,B,,E,B,A,A,D,A,B,C
411,F,A,B,A,A,B,,,B,A,,C,A,A,C
412,F,A,B,A,A,B,,E,B,A,,C,A,B,C
414,,A,A,B,A,A,,E,B,A,A,B,A,B,C
415,F,A,B,A,A,C,,E,A,B,B,B,A,A,C
417,F,B,B,A,B,D,E,B,B,A,B,D,A,C,B
418,F,C,B,A,B,C,D,B,B,A,B,D,A,B,C
419,M,D,B,A,B,B,B,B,A,C,C,C,D,B,C
420,F,B,B,A,B,C,D,B,B,A,A,B,A,B,C
421,M,B,B,A,A,C,D,B,B,A,B,D,D,C,B
422,M,B,B,A,B,D,E,B,B,A,C,D,A,C,C
423,F,B,B,A,B,C,C,B,B,A,C,C,A,B,C
424,F,C,A,A,B,D,E,B,B,A,C,D,D,C,B
425,F,B,B,A,B,C,,B,B,A,B,C,A,B,C
426,M,B,B,A,A,B,,E,B,,A,C,A,B,C
427,M,A,B,A,A,A,,E,B,A,A,B,A,B,C
428,F,A,B,A,A,B,,E,B,A,B,B,A,A,C
429,F,A,B,A,A,C,,E,B,A,,D,B,B,C
430,F,A,B,A,A,D,,E,B,A,C,D,A,B,C
431,M,B,B,A,A,C,,E,A,B,,B,A,B,C
432,M,B,B,A,A,C,,E,A,B,C,B,A,B,C
433,F,B,B,A,B,D,E,B,B,A,A,C,A,B,C
434,F,B,B,A,B,C,C,B,B,A,B,D,D,A,B
435,F,B,B,A,A,D,C,B,B,A,A,D,A,C,C
436,F,B,B,A,B,D,E,B,B,A,A,C,A,B,C
437,F,B,B,A,B,C,D,B,B,A,B,C,A,C,C
438,F,B,B,A,B,D,D,B,B,A,C,D,A,B,C
439,F,B,B,A,B,C,C,B,B,A,B,D,A,B,C
440,F,B,B,A,B,C,E,B,B,A,B,D,A,B,B
441,M,B,B,A,B,D,E,B,B,A,C,D,A,D,B
442,F,B,B,A,B,D,E,B,B,A,D,C,A,B,C
443,M,B,B,A,B,D,E,B,B,A,D,D,D,C,B
444,F,B,B,A,B,C,D,B,B,A,D,D,A,B,C
445,M,C,B,A,B,C,D,B,B,A,E,D,A,B,C
446,M,C,B,A,B,D,E,B,B,A,D,D,A,B,C
447,F,B,B,A,B,C,D,B,B,A,C,D,A,B,C
448,F,B,B,A,B,C,D,B,B,A,C,C,A,B,C
449,F,B,B,A,B,C,D,B,B,A,C,D,A,C,C
450,M,B,D,A,B,D,E,B,B,A,C,C,A,B,C
451,F,B,B,A,B,C,D,B,B,A,D,D,D,B,B
452,F,B,B,A,B,D,E,B,B,A,C,C,A,B,C
453,F,B,B,A,B,C,D,B,B,A,C,B,A,B,C
454,F,B,B,A,B,C,D,B,B,A,C,C,A,B,C
455,M,B,B,A,B,C,C,B,B,A,C,D,A,B,C
456,M,B,B,A,B,C,D,B,A,C,C,D,A,B,C
457,M,B,B,A,B,C,C,B,B,A,B,D,A,B,B
458,M,B,B,A,B,C,D,B,B,A,B,D,D,C,C
459,F,B,B,A,B,C,D,B,B,A,D,D,D,C,C
