,Alc1,Alc2,Alc3,Alc4,Alc5,Alc6,Alc7,Alc8,Alc9,Alc10,Alc11,Alc12,Alc13,Alc14,Alc15,Alc16,Alc17,Alc18,Alc19,Alc20,Alc21,Alc22,Alc23,Alc24,Alc25,Alc26,Alc27,Alc28,Alc29,Alc30,Alc31,Alc32,Alc33A,Alc33B,Alc33C,Alc33D,Alc33E,Alc34,Alc35,Alc36,Alc37,Alc38,Alc39,Alc40,Alc41,Alc42,Alc43,Alc44,Alc45,Alc46,Alc47,Alc48,Alc49,Alc50,Alc51,Alc52,Alc53,Alc54,Alc55A,Alc55B,Alc55C,Alc55D,Alc56,Alc57,Alc58,Alc59,Alc60,Alc61,Alc62,Alc63,Alc64,Alc65,Alc66,Alc67,Alc68,Alc69,Alc70
69,B,D,C,B,A,B,A,B,D,C,B,A,B,B,B,B,C,A,C,A,B,B,C,A,A,C,B,B,B,D,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,B,E,E,E,E,E,A,A,F,B,E,F,F,E
70,B,D,A,B,D,C,D,D,D,D,A,D,D,D,D,D,D,D,D,B,D,B,D,A,D,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,B,E,E,E,E
71,B,D,A,D,B,D,C,B,C,D,D,B,D,D,C,D,D,B,D,A,D,B,D,A,D,B,B,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,I,A,,,,B,A,E,E,E,E,E,A,A,F,D,E,E,E,E
72,B,B,C,D,A,D,A,A,D,C,A,C,C,C,C,A,C,A,C,A,C,B,B,B,C,B,C,C,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
73,A,C,A,A,B,A,A,A,D,A,B,B,B,B,A,B,C,A,B,A,B,C,C,B,A,C,A,C,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,A,E,E,E,E
74,A,B,B,B,B,B,B,C,B,A,C,C,C,C,B,B,B,B,B,A,D,D,C,D,D,D,D,D,B,B,B,A,A,B,C,,,C,B,C,B,B,D,B,D,D,D,A,D,D,A,D,A,B,A,C,D,F,A,,,,D,D,D,D,D,D,C,A,A,D,D,D,F,F,D
75,B,B,D,B,A,C,A,C,D,D,A,A,A,A,A,A,C,A,B,A,A,C,C,A,A,A,A,B,A,C,B,A,A,B,C,,,B,B,D,A,C,D,C,D,D,D,D,D,D,D,D,D,D,A,C,D,H,A,,,,B,A,E,E,B,D,A,A,A,A,A,A,A,A,B
76,A,B,B,B,B,B,A,C,B,C,C,B,A,D,B,C,B,B,B,A,A,B,B,B,A,B,A,B,A,D,C,B,A,B,C,,,B,B,C,C,A,D,A,D,D,D,C,D,D,A,D,B,D,A,B,D,G,,,,D,C,D,D,D,C,C,B,A,B,A,B,C,C,C,C
77,A,C,A,B,B,B,C,C,C,D,D,C,B,D,B,A,C,A,C,B,A,C,B,C,C,B,C,C,A,B,C,A,A,B,C,,,C,B,D,A,C,C,B,D,D,B,D,C,C,B,D,D,B,C,C,C,F,A,,,,D,E,D,D,B,D,B,A,A,E,D,C,D,C,C
78,B,A,D,B,B,B,B,C,B,B,B,A,B,A,B,B,C,A,B,A,A,B,B,B,C,B,B,B,A,B,D,F,,B,C,,,B,A,C,B,C,C,B,D,D,D,C,B,D,B,D,B,C,A,D,D,I,A,,,,C,C,C,E,E,E,E,A,A,F,B,E,E,E,E
79,B,B,D,B,B,C,B,A,D,B,C,B,C,C,B,B,D,B,D,B,B,D,D,D,D,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
80,B,A,C,B,A,B,A,A,B,B,A,B,A,A,A,D,A,A,C,A,A,C,C,A,B,C,B,A,D,C,C,A,A,,C,,,C,B,C,B,C,D,A,D,D,D,B,D,B,C,B,B,D,A,C,D,G,A,,,,D,D,D,D,D,D,B,A,D,A,A,D,F,F,B
81,B,A,A,A,A,C,A,C,C,C,B,C,B,D,B,D,B,A,B,C,D,D,C,B,C,B,D,C,C,D,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,B,E,E,E,E
