ID,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,DT1,DT2,DT3,DT4,DT5,DT6,DT7,DT8,DT9,DT10,DT11,DT12,DT13,DT14,DT15,DT16,DT17,DT18,DT19,DT20,DT21,DT22,DT23,DT24,DT25,DT26,DT27
108,F,C,B,A,B,C,D,B,B,A,A,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
109,F,C,B,A,B,D,E,B,B,A,B,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
110,F,C,B,A,B,C,E,B,B,A,B,C,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
112,F,C,B,A,B,D,E,B,B,A,C,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
113,M,B,B,A,B,C,E,B,B,A,B,D,A,A,B,B,A,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,A,A,B,A,B
114,M,C,B,A,B,C,E,B,B,A,D,C,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
115,M,C,B,A,B,C,D,B,B,A,B,C,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
117,F,B,B,A,B,D,E,B,B,A,A,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
118,F,B,B,A,B,C,D,B,B,A,B,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
119,F,C,B,A,B,D,D,B,B,A,D,C,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
120,M,B,B,A,B,C,D,B,B,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
122,F,B,B,A,B,C,D,B,B,A,A,C,A,B,B,B,A,A,A,A,B,B,A,B,A,B,B,A,A,B,B,A,A,A,B,B,B,A,A
123,M,B,B,A,B,D,E,B,B,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
124,F,B,B,A,A,C,D,C,B,A,B,D,A,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B
125,F,C,B,A,B,D,E,B,B,A,,D,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
126,M,B,B,A,A,B,B,E,A,B,A,D,A,A,A,B,,A,B,B,A,A,B,A,A,B,B,A,A,B,B,A,B,A,B,A,B,A,B
127,F,A,B,A,A,B,C,E,B,A,B,C,B,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,
128,M,B,B,A,A,B,B,E,B,A,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
129,M,A,B,A,A,C,C,E,B,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
130,M,A,B,A,A,C,C,D,B,A,D,D,A,B,B,A,B,B,A,B,B,A,B,A,B,B,B,A,B,A,B,A,A,B,B,A,A,A,A
131,F,A,B,A,A,C,C,E,B,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
132,M,B,B,A,A,A,B,E,A,B,B,C,A,B,A,B,A,B,B,B,A,B,A,A,B,B,A,A,A,A,B,A,B,A,B,A,B,A,B
133,F,B,B,A,A,C,C,E,B,A,C,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,B,A,B
134,M,C,B,A,A,B,C,A,B,A,B,D,A,A,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A
135,M,B,B,A,A,B,C,C,B,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
136,F,B,B,A,A,A,B,C,B,C,A,B,A,A,B,B,B,A,B,B,A,B,A,A,A,B,B,A,B,B,B,A,A,B,A,B,B,B,A
137,F,B,B,A,A,A,B,E,A,B,C,D,A,A,B,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,B,A,B,A,B,B
138,M,C,B,A,A,C,B,A,A,D,B,C,A,B,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,B
139,M,B,B,A,A,B,C,B,B,A,C,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
140,M,B,B,A,A,A,A,E,B,A,A,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
141,F,B,B,A,A,C,B,D,A,C,B,C,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,A
142,M,A,B,A,A,C,B,E,B,A,D,C,A,B,A,B,B,A,B,B,A,A,B,B,A,B,B,B,A,A,B,A,A,A,B,A,A,A,B
143,F,A,B,A,A,B,C,D,B,A,B,D,A,B,B,B,B,B,A,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B
144,F,A,B,A,A,C,C,E,B,A,C,D,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
145,F,A,B,A,A,B,B,B,B,A,B,C,A,B,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,B,A,B,A,B
146,F,B,B,A,A,C,B,D,B,A,C,C,B,A,A,B,B,B,B,B,A,B,B,A,B,B,B,A,A,B,B,A,A,A,B,A,B,A,A
147,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
148,F,A,B,A,A,D,C,E,B,A,B,C,A,A,B,A,B,B,A,B,A,A,B,A,A,B,A,B,A,B,A,B,A,B,B,B,A,A,B
149,F,A,B,A,A,C,C,E,A,B,A,C,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
150,F,B,B,A,A,C,D,B,A,C,E,C,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
151,F,B,B,A,A,B,C,D,B,A,C,D,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
152,M,B,B,A,B,A,C,B,B,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
153,M,B,B,A,A,B,C,B,A,D,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
154,M,A,B,A,A,B,B,E,B,A,C,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
155,M,A,B,A,A,C,C,E,B,A,B,C,A,A,A,B,A,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A
156,F,B,B,A,A,C,B,E,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
157,M,A,B,A,A,B,C,A,B,A,C,D,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
158,M,B,B,A,A,D,D,A,B,A,E,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
159,M,B,B,A,A,B,D,A,A,D,E,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
