,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
58,D,B,C,C,B,C,C,B,C,C,B,B,B,A,C,C,B,C,B,A,C,B,C,B,A,C,C,B,B,C,A,A,A,A,B,C,B,B,A,A,B,C,B,C,C,B,C,C,D,B,C,D,C,D,C,C,D,D,D,D
59,C,C,B,B,B,B,D,C,B,D,B,D,B,C,D,C,C,D,C,B,B,B,A,A,A,A,C,B,B,C,A,A,A,B,C,B,B,C,A,A,B,D,B,B,B,B,C,D,B,C,B,C,B,C,C,D,C,C,C,C
60,D,B,D,B,B,D,C,C,D,C,B,C,C,B,C,C,A,A,B,B,C,B,D,A,A,D,B,B,C,C,A,B,B,B,B,B,A,A,B,B,A,C,B,D,D,C,C,C,D,B,D,C,C,C,C,C,D,C,C,D
61,D,B,D,B,B,C,C,B,D,D,B,D,B,B,D,B,A,A,B,B,D,B,D,B,B,C,B,B,C,D,B,D,B,A,D,B,B,A,A,A,C,C,B,D,D,D,C,C,D,D,C,C,D,D,D,C,B,D,D,D
62,D,A,C,A,A,A,C,A,C,A,A,B,A,B,A,A,A,A,B,A,D,A,D,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,C,D,B,C,D,D,D,D,D,B,B,B,B,C,C,C,D,D,D,D
63,D,A,C,B,A,B,B,A,B,B,A,B,B,A,A,A,A,D,B,B,D,A,C,B,A,B,B,A,B,B,A,B,B,A,A,A,A,D,B,A,A,D,A,C,C,C,D,C,C,C,D,C,D,D,D,D,D,D,D,D
64,C,C,C,B,B,D,C,C,C,D,C,D,C,B,C,D,A,A,A,C,D,C,D,C,B,B,B,B,D,C,D,C,C,B,B,C,B,A,A,B,B,D,C,D,C,B,C,D,D,D,D,D,D,D,C,C,D,D,C,D
65,C,B,C,B,B,C,D,B,D,D,B,C,B,B,D,B,B,A,B,B,B,B,C,B,B,C,C,B,C,D,B,D,B,B,D,B,C,A,B,B,B,C,B,C,C,B,D,C,C,D,C,D,D,D,D,C,B,C,C,C
66,C,B,C,C,D,C,C,B,D,C,C,C,C,C,B,A,A,A,C,B,C,B,,B,D,C,B,B,D,C,C,C,C,B,B,A,B,A,C,A,B,A,B,B,B,B,A,A,B,B,B,A,C,B,B,C,D,D,D,D
67,D,C,C,B,B,C,D,C,C,D,B,D,C,B,D,C,A,A,B,A,D,B,D,B,B,C,D,C,C,C,B,D,B,A,D,C,A,A,B,A,A,D,A,B,B,B,D,D,C,D,B,C,D,C,D,D,D,D,D,D
68,D,B,D,C,D,D,A,B,C,A,C,B,C,B,A,A,B,B,A,A,D,A,,C,B,C,A,A,C,A,B,A,C,A,A,A,A,C,A,A,C,B,C,B,C,C,B,B,C,B,C,B,C,C,C,B,C,C,C,C
69,D,B,D,B,B,C,D,B,C,C,B,C,B,B,C,B,A,C,A,A,D,C,D,B,B,C,D,B,C,C,A,B,B,B,C,C,B,C,A,A,B,C,B,B,B,C,C,D,C,C,B,B,C,C,C,C,C,C,D,D
70,C,C,A,B,D,D,D,B,C,C,A,B,A,A,C,B,C,A,A,A,B,B,B,A,A,B,C,C,B,D,B,B,A,A,B,B,B,A,A,A,B,D,B,D,D,D,D,D,B,C,C,C,C,C,B,A,A,D,D,D
71,B,C,A,A,A,A,C,A,C,C,B,C,C,B,C,A,A,A,A,A,A,B,A,A,A,A,C,B,A,A,A,A,A,A,C,C,A,A,A,A,A,B,A,B,B,A,A,B,A,C,A,C,C,D,C,C,D,C,C,C
72,C,A,D,B,C,D,B,A,C,B,C,B,C,B,B,A,A,A,A,A,D,A,D,C,C,C,B,A,C,B,B,B,B,A,B,A,A,A,A,A,C,D,C,C,C,C,C,D,D,D,C,D,C,D,C,C,D,D,D,D
73,C,A,C,D,D,D,B,A,D,B,C,C,D,B,C,B,A,A,A,A,B,C,B,D,D,B,B,C,B,A,C,C,D,A,C,C,A,A,A,A,A,C,A,D,D,B,B,C,B,B,C,C,D,A,C,D,D,D,D,D
74,D,B,D,C,C,C,B,D,D,D,C,C,C,B,D,B,A,B,B,B,D,A,D,C,C,C,C,B,C,D,C,B,B,A,D,A,A,B,B,B,D,C,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
75,D,B,D,B,A,C,C,B,C,D,C,D,C,B,D,B,A,A,A,A,D,B,D,C,B,C,C,C,C,D,B,D,C,B,D,B,A,A,A,A,B,D,B,C,D,D,D,D,D,D,C,D,C,C,D,C,D,D,D,D
76,B,C,C,C,D,D,B,C,B,C,D,B,C,B,B,B,A,A,A,A,B,B,C,C,C,C,B,B,B,B,C,B,C,A,B,B,B,A,B,B,B,D,B,C,C,B,B,D,D,C,C,C,C,C,B,C,D,D,D,D
77,D,B,C,D,C,C,B,A,C,B,B,C,A,A,B,B,A,A,A,B,D,A,D,D,D,C,B,A,A,A,C,D,D,A,A,A,C,A,C,C,A,C,A,B,B,B,C,D,C,C,C,A,A,B,C,C,C,D,D,B
78,C,B,C,C,B,B,C,B,B,B,B,C,B,B,B,B,A,A,A,B,C,B,C,C,B,B,A,B,B,A,B,A,A,A,A,B,B,A,B,B,B,C,B,C,D,B,B,C,C,C,C,C,D,D,C,C,C,D,D,C
79,B,B,C,A,A,B,C,B,B,D,A,B,B,A,C,B,A,A,A,A,B,B,A,C,A,B,C,B,B,D,A,B,B,A,C,B,A,A,A,A,B,B,C,B,C,C,C,B,C,C,C,B,C,D,C,C,D,D,D,D
80,C,A,C,C,C,C,D,B,C,D,B,C,B,C,D,A,C,B,B,B,D,A,D,C,C,D,D,A,C,D,C,C,B,B,D,A,C,B,B,A,C,D,C,D,D,C,D,D,C,D,D,C,D,D,D,D,D,D,D,D
81,D,B,D,B,B,C,B,B,C,C,B,C,B,D,C,A,A,B,A,B,C,A,D,B,B,C,B,C,D,B,B,C,B,B,B,A,A,B,B,A,A,C,B,D,C,B,C,B,C,C,D,D,D,C,C,D,D,D,D,C
82,B,B,C,B,B,C,C,B,B,C,B,C,B,B,B,A,A,A,A,B,C,B,C,B,B,B,B,B,B,C,B,B,B,A,B,A,A,A,A,A,B,C,B,C,C,B,C,C,B,B,C,C,C,C,C,C,D,C,D,C
83,D,A,C,C,C,D,C,A,C,C,C,D,D,C,C,B,A,B,B,C,C,B,C,C,B,C,B,A,C,C,C,C,B,C,B,B,C,C,C,C,B,D,B,D,D,C,C,C,D,D,D,C,D,D,C,C,C,D,D,D
84,C,A,C,C,D,C,A,A,C,C,C,C,C,B,B,B,A,C,C,A,D,D,B,D,D,D,A,D,C,B,D,B,D,A,B,B,A,B,B,A,A,D,A,A,A,A,D,A,D,D,D,D,D,D,D,B,D,D,D,D
85,A,A,B,A,A,A,C,B,B,D,A,C,A,D,C,A,C,B,A,A,D,A,A,A,A,A,A,B,A,C,A,A,A,A,A,A,A,B,A,C,A,A,B,A,A,A,A,B,A,B,B,A,C,A,A,B,A,B,B,D
86,D,A,D,A,A,A,C,A,D,D,B,D,A,A,D,C,B,B,A,A,,,C,A,A,A,D,B,C,D,A,D,D,A,D,D,D,A,A,D,A,D,A,D,D,A,D,D,A,C,D,C,D,D,C,B,D,D,D,D
87,D,A,C,D,C,B,D,B,D,D,D,C,C,C,C,C,D,B,A,A,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,B,A,A,A,D,A,B,B,A,C,D,C,C,C,C,C,C,C,C,C,C,D,D
