,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75
52,C,A,A,C,D,C,D,B,D,D,D,D,B,C,B,C,A,A,A,A,A,B,,A,A,A,A,A,C,C,D,C,C,A,F,C,E,B,B,B,D,E,E,E,E,,B,,D,,A,A,E,E,B,B,D,A,A,A,B,A,B,B,A,A,C,B,C,F,A,E,E,E,E,D,D,B,B
53,D,A,C,B,A,B,A,B,D,B,D,D,A,C,A,B,A,C,A,A,A,B,A,B,A,B,B,B,A,C,D,D,C,A,B,B,C,B,B,A,A,C,A,B,A,A,B,,,,B,B,A,C,C,A,C,C,A,A,B,A,A,A,A,B,B,B,B,C,B,A,C,A,D,B,A,C,B
54,C,A,A,A,D,B,D,B,D,A,D,D,A,C,A,C,A,C,A,A,A,B,A,C,A,C,A,A,C,B,D,B,B,A,F,C,E,B,A,B,D,E,E,E,E,A,,,D,E,C,A,E,E,A,A,B,A,B,B,A,B,B,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,A
55,B,A,D,B,D,D,D,D,D,D,D,D,A,B,B,B,C,C,A,B,A,B,B,B,C,C,A,B,B,C,D,B,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,,A,A,E,E,B,B,D,D,A,B,A,B,B,A,A,A,C,B,C,F,A,E,E,E,E,D,D,D,A
56,C,A,D,D,D,D,D,D,D,D,D,D,A,D,A,D,B,D,A,A,A,C,A,C,A,D,A,A,D,B,D,C,B,A,F,C,E,B,A,B,D,E,E,E,E,A,,,,E,A,A,E,E,A,C,D,C,A,A,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,D,C
57,C,A,D,A,D,C,D,D,D,D,D,D,A,D,A,D,B,D,A,B,A,A,A,A,A,A,A,A,D,B,D,C,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,A,A,E,E,A,B,C,D,A,A,A,A,A,A,B,A,A,B,C,F,A,E,E,A,A,D,D,D,A
58,D,A,B,B,B,B,D,C,D,D,D,C,A,A,A,A,B,B,B,B,A,A,A,B,A,B,A,A,D,B,C,C,C,A,C,A,B,A,B,A,C,C,A,D,A,A,B,,D,,D,A,B,D,B,B,C,B,A,C,B,B,B,B,B,B,A,B,B,A,C,B,D,A,C,A,A,B,A
59,D,A,C,C,D,D,D,D,C,D,D,D,B,D,B,D,C,D,C,C,D,B,B,B,A,B,A,A,C,D,D,D,C,A,D,B,C,B,B,B,C,D,A,A,A,A,,,,,D,A,B,B,B,A,C,C,A,B,B,D,B,A,B,A,A,B,B,A,B,A,A,B,A,B,C,B,A
60,D,A,B,D,C,A,D,B,D,D,D,D,A,D,A,C,A,C,A,A,A,C,A,D,A,D,A,A,D,B,D,B,C,A,C,A,A,B,B,B,A,D,A,C,A,,,,D,,D,A,D,A,A,B,C,C,B,B,A,C,B,B,B,A,B,B,B,D,B,A,B,A,A,C,C,C,C
61,C,A,C,B,D,A,D,A,D,A,D,D,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,D,B,D,B,C,A,F,C,E,B,B,B,A,D,A,A,A,A,,,D,E,C,A,E,E,A,A,D,B,A,A,B,C,A,A,A,A,C,B,C,C,B,A,A,E,E,D,D,A,A
62,D,A,A,A,D,A,D,C,D,D,D,D,A,D,A,D,C,D,A,A,A,A,A,A,A,D,A,A,D,C,D,C,C,A,D,A,A,A,A,B,C,D,A,A,A,A,,,,,E,C,D,B,A,A,D,B,A,A,A,B,A,A,A,A,A,B,B,A,B,A,C,A,B,C,A,A,A
63,D,A,A,B,D,D,C,C,D,C,D,D,A,C,B,C,B,C,B,B,B,B,A,C,B,C,B,B,C,B,C,B,A,A,C,A,A,B,B,B,A,D,A,A,A,,,,,E,E,A,D,A,A,C,C,C,A,A,A,B,A,A,B,B,A,B,B,A,B,A,A,A,A,B,B,C,A
64,D,A,C,A,C,A,D,A,D,A,D,D,A,D,A,C,A,C,B,A,A,A,A,A,A,B,A,A,A,C,D,D,C,A,D,A,A,B,B,B,A,D,A,C,A,,,,D,,A,A,D,B,A,B,D,A,A,B,B,C,C,B,B,A,B,B,B,B,B,A,A,C,A,B,C,B,A
65,D,B,B,B,C,C,C,D,B,D,C,B,B,B,B,B,D,B,B,B,B,C,B,B,B,B,B,B,B,D,D,D,C,A,D,A,B,B,B,B,C,C,B,B,A,A,,,D,,C,C,A,C,B,B,C,B,B,A,B,C,C,B,A,A,A,B,B,B,C,B,C,B,B,A,C,C,A
66,D,A,D,B,D,D,D,D,D,D,D,D,B,C,B,B,C,C,A,A,A,B,A,B,B,B,A,A,D,B,D,B,A,A,B,B,C,B,B,B,C,D,A,A,A,A,,,D,,C,A,B,D,B,C,C,D,A,A,A,A,A,A,B,B,B,B,B,F,E,E,B,A,B,C,C,C,C
67,D,A,D,A,D,D,D,D,D,D,D,D,B,D,B,C,B,C,B,A,B,B,A,C,B,C,B,A,D,A,C,A,A,A,D,A,A,A,B,B,C,D,A,A,A,A,,,,,A,A,D,A,A,A,D,D,A,A,A,B,B,A,B,A,B,B,B,F,A,E,A,A,A,C,C,D,C
68,D,A,B,A,C,B,D,B,D,B,D,D,A,C,B,B,C,B,A,B,A,D,A,C,A,C,A,A,C,B,D,C,B,A,C,A,A,B,A,B,A,D,A,A,A,,,,,E,D,A,D,B,A,*,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,C,B,C,C,D,A
69,D,A,C,A,D,B,D,B,D,C,D,D,B,D,A,C,B,C,A,A,A,B,A,B,C,B,A,A,D,B,C,C,B,A,D,A,A,B,B,A,A,D,A,A,A,A,,,D,,A,A,D,A,B,B,C,B,A,A,A,A,A,A,B,A,A,B,B,A,A,E,A,A,A,A,C,C,A
70,D,C,D,A,D,A,D,C,D,B,D,D,D,C,C,C,D,C,D,C,D,A,B,C,D,C,D,B,,,,,A,A,A,B,C,A,B,B,A,C,A,A,A,A,,C,,,A,A,C,A,B,A,C,D,A,B,B,A,B,B,B,B,B,B,A,E,B,A,D,A,D,C,C,D,A
71,D,A,D,B,B,A,D,B,D,A,D,D,A,C,A,B,D,C,A,B,B,A,B,D,A,A,A,B,C,C,D,B,C,B,D,A,A,B,A,B,C,D,A,A,A,A,,,D,,A,A,D,B,A,B,D,D,A,A,A,B,A,A,B,A,A,B,B,A,B,A,A,A,A,C,C,B,C
72,B,A,D,B,C,B,D,B,D,B,D,D,A,C,A,C,B,C,A,A,A,C,A,B,A,B,A,A,B,C,D,D,C,A,F,C,E,B,A,B,D,E,E,E,E,,,,D,,A,A,E,E,A,B,D,D,A,A,A,A,A,A,A,A,A,A,C,F,A,E,E,E,E,D,D,C,C
73,B,B,C,B,D,D,D,D,D,D,D,D,A,B,B,C,B,C,B,B,B,A,A,A,B,A,B,A,A,C,D,B,C,B,F,C,E,B,B,B,D,E,E,E,E,,,,D,E,A,A,E,E,D,A,D,C,A,B,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,A,A
74,A,A,E,B,D,D,D,D,D,D,D,D,C,B,B,B,D,B,C,C,A,A,A,A,A,A,A,A,B,C,D,C,C,A,F,C,E,B,A,B,D,E,E,E,E,,,C,D,,A,A,E,E,A,A,D,D,A,A,D,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,A,A
75,A,A,E,A,D,D,D,D,D,D,D,D,A,C,A,C,B,B,A,A,A,B,A,B,A,A,A,A,A,D,D,C,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,E,A,A,E,E,A,A,D,D,A,A,D,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,D,C
76,C,A,D,B,D,B,D,B,D,C,D,D,A,D,A,B,C,C,A,A,A,A,A,B,A,B,A,A,A,B,C,C,B,A,F,C,E,B,A,B,D,E,E,E,E,A,B,,D,,C,A,E,E,A,A,C,D,A,A,A,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,C,A
77,C,B,C,C,D,A,D,C,D,D,D,D,B,C,B,C,B,C,A,A,A,B,A,C,B,C,A,A,A,B,C,B,C,B,A,B,B,B,A,B,C,B,A,A,A,A,B,,D,E,A,A,B,A,B,A,D,C,A,A,B,B,A,B,A,A,A,B,B,A,A,E,B,B,B,C,C,B,C
