"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
3,"Aleat","B",5,1200,8,12,0.6
3,"Bloque","B",3,900,16,4,0.2
3,"Bloque","B",3,937,14,6,0.3
3,"Bloque","B",3,975,18,2,0.1
3,"Bloque","B",3,1012,13,7,0.35
3,"Bloque","B",3,1050,11,9,0.45
3,"Bloque","B",3,1088,9,11,0.55
3,"Bloque","B",3,1125,3,17,0.85
3,"Bloque","B",3,1163,1,19,0.95
3,"Bloque","B",3,1200,1,19,0.95
3,"Bloque","B",4,900,19,1,0.05
3,"Bloque","B",4,937,17,3,0.15
3,"Bloque","B",4,975,18,2,0.1
3,"Bloque","B",4,1012,14,6,0.3
3,"Bloque","B",4,1050,14,6,0.3
3,"Bloque","B",4,1088,8,12,0.6
3,"Bloque","B",4,1125,7,13,0.65
3,"Bloque","B",4,1163,3,17,0.85
3,"Bloque","B",4,1200,3,17,0.85
3,"Bloque","B",5,900,20,0,0
3,"Bloque","B",5,937,17,3,0.15
3,"Bloque","B",5,975,17,3,0.15
3,"Bloque","B",5,1012,16,4,0.2
3,"Bloque","B",5,1050,14,6,0.3
3,"Bloque","B",5,1088,10,10,0.5
3,"Bloque","B",5,1125,5,15,0.75
3,"Bloque","B",5,1163,5,15,0.75
3,"Bloque","B",5,1200,3,17,0.85
3,"Aleatoria","C",3,1200,20,0,0
3,"Aleatoria","C",3,1250,20,0,0
3,"Aleatoria","C",3,1300,20,0,0
3,"Aleatoria","C",3,1350,18,2,0.1
3,"Aleatoria","C",3,1400,16,4,0.2
3,"Aleatoria","C",3,1450,13,7,0.35
3,"Aleatoria","C",3,1500,11,9,0.45
3,"Aleatoria","C",3,1550,8,12,0.6
3,"Aleatoria","C",3,1600,3,17,0.85
3,"Aleatoria","C",4,1200,20,0,0
3,"Aleatoria","C",4,1250,20,0,0
3,"Aleatoria","C",4,1300,19,1,0.05
3,"Aleatoria","C",4,1350,16,4,0.2
3,"Aleatoria","C",4,1400,15,5,0.25
3,"Aleatoria","C",4,1450,15,5,0.25
3,"Aleatoria","C",4,1500,6,14,0.7
3,"Aleatoria","C",4,1550,6,14,0.7
3,"Aleatoria","C",4,1600,5,15,0.75
3,"Aleatoria","C",5,1200,20,0,0
3,"Aleatoria","C",5,1250,20,0,0
3,"Aleatoria","C",5,1300,20,0,0
3,"Aleatoria","C",5,1350,18,2,0.1
3,"Aleatoria","C",5,1400,13,7,0.35
3,"Aleatoria","C",5,1450,10,10,0.5
3,"Aleatoria","C",5,1500,12,8,0.4
3,"Aleatoria","C",5,1550,9,11,0.55
3,"Aleatoria","C",5,1600,5,15,0.75
3,"Bloque","C",3,1200,20,0,0
