"tonos","correctas","respuesta","correcto","RT","date","frameRate","expName","session","participant","n_participante","condiciones","escal","duraciones"
"tonos/5_250ma_A.wav","l","l",1,0.68500495,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_188ma_A.wav","l","l",1,0.685040951,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_0_A.wav","l, s","l",0,1.702098846,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_125ma_A.wav","l","l",1,1.535068035,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_250me_A.wav","s","s",1,0.752166986,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_250me_A.wav","s","s",1,0.768213034,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_0_A.wav","l, s","s",0,2.236332893,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_125me_A.wav","s","s",1,2.468777895,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_125ma_A.wav","l","l",1,1.36839819,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_188ma_A.wav","l","l",1,1.652137995,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_250ma_A.wav","l","l",1,0.968425035,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_63me_A.wav","s","s",1,1.735295057,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_63ma_A.wav","l","l",1,1.868814945,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_188me_A.wav","s","l",0,2.351869106,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_0_A.wav","l, s","l",0,2.436419964,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_250me_A.wav","s","s",1,0.685089111,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_250ma_A.wav","l","l",1,0.868588924,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
