Folio,Género,Edad,Escuela,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15,ThetaBA,ThetaCon,ThetaDD
114,1,2,1,2,3,3,2,2,3,3,3,3,2,3,2,2,2,2,.30029538,.48924264,1.3165559
115,1,2,1,2,2,1,1,2,2,3,1,2,2,3,2,1,2,2,.30029538,.25805777,-.19963144
117,0,1,1,2,1,2,2,1,3,3,2,3,1,2,2,2,2,1,-.67925137,-.18181866,.78642613
118,0,1,1,1,2,1,1,1,1,3,2,1,1,3,1,1,2,1,-.67925137,.12768142,-.052051567
119,0,2,1,2,1,0,1,3,3,3,1,2,3,3,1,2,2,3,1.5584854,.48924264,-.71527869
120,1,1,1,3,2,0,1,1,2,3,1,2,0,3,0,1,0,2,-.84011424,.45528537,-.91924
122,0,1,1,2,2,1,1,2,2,3,1,2,2,3,2,3,1,1,.083516158,.89192474,-.19963144
123,1,1,1,3,1,1,0,1,3,3,0,2,1,3,0,2,1,1,-.67925137,.696024,-1.5268316
124,0,1,1,1,1,1,2,2,1,3,1,3,2,3,3,3,1,1,.083516158,.74519873,.37792701
125,0,2,1,2,2,2,2,3,2,2,2,2,3,3,3,2,3,3,1.5584854,-.077705279,.93773198
126,1,1,2,1,2,,3,3,,1,3,3,2,3,1,3,3,2,.64446807,-.15962124,1.3519881
127,0,0,2,3,3,0,,3,0,0,2,2,2,2,2,2,1,0,.28196093,-.81674951,-.0094021186
128,1,1,2,2,2,1,1,2,2,2,1,3,3,3,1,1,2,2,.64843237,-.28296947,-.39816651
129,1,0,2,1,1,1,2,2,3,3,3,,2,,2,2,3,3,.51666284,.079621449,.81136698
130,1,0,2,0,1,0,3,0,1,2,0,1,0,0,3,1,2,0,-2.0075986,-1.6275365,.025685914
131,0,0,2,0,3,3,2,1,3,2,1,3,1,,2,1,3,,-.61100996,-.97450501,.70074713
132,1,1,2,,,,,,,,,,,,,,,,,,
133,0,1,2,,,,,,,,,,,,,,,,,,
134,1,2,2,3,2,1,0,2,1,3,0,2,2,3,3,3,2,2,.30029538,1.1779282,-.97973675
135,1,1,2,2,1,1,2,0,2,1,3,1,2,0,2,1,0,2,-.24741247,-1.7513142,.81136698
136,0,1,2,3,1,2,0,3,1,2,0,3,1,2,0,3,1,0,-.25596568,-.29590672,-1.3481917
137,0,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,-.67925137,-.55206549,-.39816651
138,1,2,2,2,3,1,2,0,2,1,3,1,2,3,1,2,0,2,-.24741247,-.28411275,.62367553
139,1,1,2,3,2,0,0,2,0,3,0,0,0,3,0,1,0,0,-1.0421256,.45528537,-2.0206969
140,1,1,2,3,,3,1,0,3,3,3,3,1,3,2,3,2,3,-.58844459,1.1779282,.94033718
141,0,1,2,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,.30029538,-1.104319,.54576206
142,1,0,2,2,1,2,0,0,2,2,1,2,0,2,2,3,3,0,-2.0075986,-.40132707,-.35467103
143,0,0,2,3,1,2,2,2,2,3,3,3,3,3,3,3,2,2,.64843237,1.1779282,1.2442187
144,0,0,2,2,1,1,1,2,3,3,3,2,2,3,0,1,2,2,.30029538,.25805777,-.017283903
145,0,0,2,1,2,1,1,1,2,3,1,2,1,3,1,1,2,1,-.67925137,.12768142,-.39816651
146,0,1,2,2,2,1,1,3,2,2,2,2,3,2,2,2,2,3,1.5584854,-.55206549,.143538
147,,,2,3,1,2,1,3,3,3,1,3,2,3,2,2,2,3,.93433887,.696024,.079921693
148,0,0,2,2,1,3,2,1,3,3,3,2,0,2,3,2,2,1,-1.1166126,-.18181866,1.5370858
149,0,0,2,3,3,1,3,2,2,1,0,1,2,3,3,2,2,3,.51666284,-.13180929,.45843753
150,0,1,2,3,2,1,0,1,2,3,3,2,2,1,1,0,0,1,-.27041367,-.7954008,-.33426473
151,0,1,2,2,0,1,0,2,1,3,1,1,2,3,1,1,0,2,.30029538,.25805777,-.85825688
152,1,1,2,3,3,3,2,1,3,1,2,2,0,0,2,3,1,0,-1.4391522,-1.2930839,.98506302
153,1,1,2,3,0,0,0,1,1,3,0,0,1,3,0,1,0,1,-.67925137,.45528537,-2.0206969
154,1,0,2,2,3,1,1,3,2,2,1,3,2,3,0,2,2,2,.64446807,-.077705279,-.56970984
155,1,0,2,2,1,2,1,3,2,2,2,3,2,2,1,2,2,2,.64446807,-.55206549,.2281201
156,0,1,2,0,0,0,0,0,0,1,0,2,0,1,0,1,2,0,-2.0075986,-1.5378561,-2.0206969
157,1,0,2,0,0,0,0,0,0,0,2,0,1,3,1,2,0,0,-1.3619994,-.61240995,-.89149916
158,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0075986,-2.6780877,-2.0206969
159,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0075986,-2.6780877,-2.0206969
160,0,0,2,3,2,1,1,3,2,1,1,2,3,2,3,3,3,3,1.5584854,-.517268,-.083798051
161,1,3,2,3,2,0,2,1,1,3,2,3,3,3,0,3,0,3,.66262567,1.1779282,-.021787915
162,1,1,2,2,0,1,,3,0,,,,0,0,1,2,3,2,-.046195563,-1.354117,-.28057325
163,0,2,2,3,2,1,1,1,1,2,2,1,3,2,1,2,3,0,-.23715805,-.45984948,-.052051567
164,1,2,2,3,2,1,1,3,3,2,1,1,2,3,3,2,2,2,.64446807,.055918932,-.083798051
165,1,1,2,1,1,2,0,1,2,1,1,2,1,1,2,3,1,3,-.25713354,-1.1909908,-.35467103
166,1,0,2,2,1,0,2,1,2,0,1,2,1,1,2,0,1,2,-.42456412,-1.8183026,-.029109702
167,1,1,2,1,1,1,2,0,3,2,2,2,1,2,1,2,2,1,-1.0367966,-.6404233,.37111124
168,1,2,2,2,1,2,1,3,0,0,2,1,3,3,0,2,1,3,1.5584854,-.38338292,.096678063
169,0,1,2,3,3,3,3,3,2,3,3,3,1,3,2,3,3,2,.261067,1.1779282,1.814014
170,1,2,2,2,2,1,2,2,2,2,0,2,1,3,3,2,1,2,-.065269858,-.077705279,.14428405
171,0,1,2,2,2,1,2,3,3,3,3,3,2,2,2,1,3,2,.64446807,-.37750062,.81136698
172,1,0,2,3,2,2,2,2,1,3,2,2,2,3,1,2,2,2,.30029538,.696024,.62952048
173,0,1,2,2,1,0,1,1,2,3,2,3,1,1,1,1,2,1,-.67925137,-.78263736,-.34818912
174,1,1,2,3,2,2,1,1,0,0,1,1,2,3,2,2,2,3,.20567979,-.2121148,.079921693
175,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-.67925137,-1.4829439,-.39816651
176,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,.083516158,-.55206549,.54576206
177,1,2,2,2,2,1,2,1,1,2,1,1,1,3,1,1,1,1,-.67925137,-.28296947,.034030739
178,0,1,2,3,0,0,0,1,0,3,0,0,1,1,1,2,2,2,-.42456412,-.39397252,-1.6966447
179,1,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,-.31357718,-.55206549,-.39816651
180,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,-.67925137,-.88770175,-.052051567
181,1,1,2,1,3,3,0,3,1,3,1,3,1,3,1,3,3,3,.56374979,.74519873,-.51951265
182,1,0,2,1,1,1,1,2,1,2,0,3,3,2,0,2,1,1,.41311869,-.6404233,-.94838494
183,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-.67925137,-1.4829439,-.39816651
184,1,1,2,2,2,0,0,2,1,3,0,2,2,3,1,2,1,2,.30029538,.48924264,-1.6966447
185,1,1,2,2,2,0,0,1,2,2,1,1,1,3,2,0,3,1,-.67925137,-.37583113,-1.0235567
186,1,1,2,2,2,2,1,3,2,3,2,1,2,2,2,1,1,1,.42178065,-.37750062,.41724724
187,1,1,2,2,3,0,1,0,2,3,1,1,0,3,1,2,1,3,-1.2128097,.48924264,-.71527869
188,1,1,2,2,3,3,3,1,3,3,2,3,2,3,1,1,1,1,-.27041367,.25805777,1.2053976
189,1,1,2,2,2,2,2,1,3,2,0,2,2,2,2,2,2,2,-.010361644,-.55206549,.32453209
191,0,1,2,1,1,3,2,2,2,3,1,2,1,2,3,2,2,1,-.31357718,-.28212789,.89224261
192,1,1,2,2,1,0,1,2,1,3,2,2,2,2,1,2,1,2,.30029538,-.18181866,-.34818912
193,0,0,2,1,0,0,1,2,2,2,1,2,2,2,2,2,0,2,.30029538,-.6404233,-.50473809
195,0,1,2,2,3,2,2,3,3,3,2,2,3,3,1,3,2,2,1.1242504,.89192474,.62952048
196,1,1,2,2,1,0,1,0,2,2,1,1,0,1,0,2,2,0,-2.0075986,-.91379362,-.91924
197,0,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,-.065269858,-.55206549,-.12857406
198,1,1,2,3,3,3,3,3,2,2,0,3,,3,3,3,0,1,.38171518,.33166075,1.2756078
199,1,0,2,3,0,0,0,0,0,0,0,0,0,3,0,3,0,2,-1.3192432,.11697734,-2.0206969
200,0,1,2,3,3,3,1,0,3,3,3,3,0,3,3,3,3,0,-2.0075986,1.1779282,1.192274
201,1,1,2,3,2,0,2,3,1,3,1,1,2,3,3,3,1,2,.64446807,1.1779282,.12071341
202,0,1,2,3,0,2,0,3,2,3,1,3,0,3,2,3,2,3,.30511898,1.1779282,-.35467103
203,0,1,2,1,3,0,2,1,0,2,3,3,3,1,1,2,0,3,.66262567,-1.0151136,.39804569
204,0,0,2,1,1,2,1,3,3,2,2,3,3,3,2,2,2,2,1.1242504,-.18310425,.41724724
205,0,0,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,-.67925137,-1.0828118,.034030739
206,1,2,2,2,2,1,1,1,2,3,1,2,2,3,1,3,2,1,-.27041367,.89192474,-.39816651
207,0,0,2,2,1,2,3,1,2,0,2,3,1,2,3,0,2,1,-.67925137,-1.3464633,1.2983682
208,0,1,2,3,2,2,2,3,3,2,2,3,3,2,2,2,2,3,1.5584854,-.45984948,.78642613
209,0,1,2,2,2,1,1,2,2,3,2,1,1,2,1,2,2,1,-.31357718,-.18181866,-.052051567
210,1,2,2,2,2,0,1,3,2,3,1,3,3,3,1,2,0,2,1.1242504,.48924264,-.71527869
211,1,1,2,2,1,1,1,3,3,2,2,1,3,3,3,3,3,3,1.5584854,.16463797,.27903733
212,0,0,2,2,0,1,1,1,2,3,1,1,1,3,1,3,3,1,-.67925137,.89192474,-.39816651
213,1,0,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,.30029538,-.9803279,.41724724
214,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.30029538,-.55206549,.78642613
215,0,2,2,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,-.67925137,-.88770175,-.39816651
