Folio,Sexo,Edad,Escuela,P1,P2,P3,Psum,ThetaCR
542,1,1,5,0,0,0,0,-.38948628
543,1,1,5,0,0,0,0,-.38948628
544,0,2,5,0,0,0,0,-.38948628
545,0,2,5,0,0,0,0,-.38948628
546,0,1,5,0,0,0,0,-.38948628
547,0,0,5,0,0,0,0,-.38948628
548,0,1,5,0,0,0,0,-.38948628
549,0,0,5,0,0,0,0,-.38948628
550,0,0,5,0,0,0,0,-.38948628
551,0,0,5,0,0,0,0,-.38948628
552,0,0,5,0,0,0,0,-.38948628
553,0,1,5,0,0,0,0,-.38948628
554,0,1,5,0,0,0,0,-.38948628
555,0,0,5,0,0,0,0,-.38948628
556,1,1,5,0,0,0,0,-.38948628
557,0,1,5,0,0,0,0,-.38948628
558,0,0,5,0,0,0,0,-.38948628
563,0,0,5,0,0,0,0,-.38948628
564,1,0,5,0,0,0,0,-.38948628
565,0,0,5,0,1,0,1,1.1835277
566,0,0,5,0,0,0,0,-.38948628
567,1,0,5,0,0,0,0,-.38948628
568,0,1,5,0,0,0,0,-.38948628
569,1,0,5,0,0,0,0,-.38948628
570,1,0,5,0,0,0,0,-.38948628
571,0,0,5,0,0,0,0,-.38948628
572,1,0,5,0,0,0,0,-.38948628
573,1,0,5,0,0,0,0,-.38948628
574,1,0,5,0,0,0,0,-.38948628
575,1,0,5,0,0,0,0,-.38948628
576,1,0,5,0,0,0,0,-.38948628
577,0,0,5,0,0,0,0,-.38948628
578,0,0,5,0,0,0,0,-.38948628
579,0,0,5,0,0,0,0,-.38948628
580,1,0,5,0,0,0,0,-.38948628
581,0,0,5,0,0,0,0,-.38948628
582,1,0,5,0,0,0,0,-.38948628
583,1,0,5,0,0,0,0,-.38948628
584,1,0,5,0,0,0,0,-.38948628
585,1,0,5,1,1,1,3,1.7910099
586,1,0,5,1,1,0,2,1.3746766
588,0,0,5,0,0,0,0,-.38948628
589,0,1,5,0,0,0,0,-.38948628
590,1,1,5,0,0,0,0,-.38948628
591,1,1,5,0,0,0,0,-.38948628
592,0,0,5,0,0,0,0,-.38948628
593,1,1,5,1,1,1,3,1.7910099
594,0,0,5,0,0,0,0,-.38948628
595,0,0,5,0,0,0,0,-.38948628
597,1,1,5,0,0,0,0,-.38948628
598,1,1,5,0,0,0,0,-.38948628
599,0,0,5,0,0,0,0,-.38948628
600,0,0,5,0,0,0,0,-.38948628
601,1,1,5,1,0,0,1,.28402048
602,1,0,5,0,0,0,0,-.38948628
603,1,0,5,0,0,0,0,-.38948628
604,0,0,5,0,0,0,0,-.38948628
605,1,1,5,0,0,0,0,-.38948628
606,0,0,5,0,0,0,0,-.38948628
607,1,0,5,0,0,0,0,-.38948628
613,0,1,5,0,0,0,0,-.38948628
614,0,2,5,0,0,0,0,-.38948628
615,1,1,5,0,0,0,0,-.38948628
616,1,1,5,0,1,0,1,1.1835277
617,0,2,5,0,0,0,0,-.38948628
618,0,2,5,0,0,0,0,-.38948628
619,1,1,5,0,0,0,0,-.38948628
620,1,1,5,0,0,0,0,-.38948628
621,0,1,5,0,1,0,1,1.1835277
622,1,1,5,0,0,0,0,-.38948628
623,0,1,5,0,1,0,1,1.1835277
624,1,1,5,0,0,0,0,-.38948628
625,1,2,5,0,0,0,0,-.38948628
