Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
448,616,n,True,430,19,False,203,True,227,False,2,False,17,1,1.651710033,0.150580883,0.300851822,muchos,8,over,1,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
449,587,n,True,431,19,False,203,True,228,False,2,False,17,1,1.638369083,0.137247086,0.401036024,muchos,7,under,1.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
450,362,s,True,432,19,True,204,False,228,False,2,False,17,6,1.650461912,0.149796009,0.302563906,muchos,8,over,2_o3,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
451,547,n,True,433,19,False,204,True,229,False,2,False,17,1,1.638797045,0.137680054,0.300781965,muchos,7,under,2.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
452,577,n,True,434,19,False,204,True,230,False,2,False,17,1,1.653013945,0.151926041,0.300947189,muchos,8,over,1.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
453,264,n,True,435,19,False,204,True,231,False,2,False,17,1,1.652900934,0.151702881,0.902457952,pocos,2,under,1.5,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
454,299,n,True,436,19,False,204,True,232,False,2,False,17,1,1.651482105,0.150384903,0.300859928,pocos,3,over,1,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
455,19,s,True,437,19,True,205,False,232,False,2,False,17,6,1.65278101,0.15169096,0.501225948,pocos,2,over,2_o2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
456,368,s,True,438,19,True,206,False,232,False,2,False,17,6,1.652088881,0.15101409,0.300853014,muchos,8,over,2_o3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
457,336,s,True,439,19,True,207,False,232,False,2,False,17,6,1.651719093,0.150524855,0.30075717,muchos,7,over,2_o2,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
458,367,s,True,440,19,True,208,False,232,False,2,False,17,6,1.651497126,0.150363922,0.300879002,muchos,8,over,2_o3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
459,109,s,True,441,19,True,209,False,232,False,2,False,17,6,1.651731014,0.150557041,0.301023006,pocos,2,under,2_u2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
460,479,s,True,442,19,True,210,False,232,False,2,False,17,6,2.041910887,0.540803909,0.601600885,muchos,8,under,2_u3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
461,185,n,True,443,19,False,210,True,233,False,2,False,17,1,1.651064157,0.150140047,5.514064074,pocos,2,under,3,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
462,79,s,True,444,19,True,211,False,233,False,2,False,17,6,1.652019978,0.15092802,0.501329184,pocos,3,over,2_o3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
463,457,s,True,445,19,True,212,False,233,False,2,False,17,5,1.952972889,0.451874018,0.40109086,muchos,8,under,2_u3,senal,purpura,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
464,129,s,True,446,19,True,213,False,233,False,2,False,17,6,3.155550003,1.65438199,0.701752901,pocos,3,under,2_u3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
465,59,s,True,447,19,True,214,False,233,False,2,False,17,6,1.652792931,0.151633024,0.30104804,pocos,3,over,2_o3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
466,469,s,True,448,19,True,215,False,233,False,2,False,17,6,1.651989222,0.150933981,0.300857067,muchos,8,under,2_u3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
467,177,n,True,449,19,False,215,True,234,False,2,False,17,1,1.651584148,0.15044713,0.401091099,pocos,3,over,3,ruido,purpura,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
468,466,s,True,450,19,True,216,False,234,False,2,False,17,6,1.65239501,0.151326895,0.300804853,muchos,8,under,2_u3,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
469,592,n,True,451,19,False,216,True,235,False,2,False,17,1,1.639526129,0.138363123,0.401162863,muchos,8,under,1.5,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
470,216,n,True,452,19,False,216,True,236,False,2,False,17,1,1.651152849,0.150035143,0.401246071,pocos,3,over,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
471,321,s,True,453,19,True,217,False,236,False,2,False,17,6,2.152908087,0.651966095,0.300887108,muchos,7,over,2_o2,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
472,170,n,True,454,19,False,217,True,237,False,2,False,17,1,1.650648832,0.149557114,0.802057028,pocos,2,over,3,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
473,568,n,True,455,19,False,217,True,238,False,2,False,17,1,1.651626825,0.150364161,0.601763964,muchos,7,over,1.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
474,80,s,True,456,19,True,218,False,238,False,2,False,17,6,1.6514709,0.150295019,0.401143074,pocos,3,over,2_o3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
475,108,s,True,457,19,True,219,False,238,False,2,False,17,6,1.651721001,0.150648117,0.100373983,pocos,2,under,2_u2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
476,460,s,True,458,19,True,220,False,238,False,2,False,17,6,1.650605917,0.149530172,0.300949812,muchos,8,under,2_u3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
477,184,n,True,459,19,False,220,True,239,False,2,False,17,1,1.651345968,0.150286913,0.100306988,pocos,2,under,3,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
478,613,n,True,460,19,False,220,True,240,False,2,False,17,1,1.651983976,0.150918961,0.100333929,muchos,8,over,1,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
479,143,s,True,461,19,True,221,False,240,False,2,False,17,6,1.651612997,0.150514126,0.300843954,pocos,3,under,2_u3,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
480,133,s,True,462,19,True,222,False,240,False,2,False,17,6,1.651685953,0.150511026,0.300928116,pocos,3,under,2_u3,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
481,569,n,True,463,19,False,222,True,241,False,2,False,17,1,1.650835037,0.149673939,0.401036024,muchos,7,over,1.5,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
482,521,n,True,464,19,False,222,True,242,False,2,False,17,1,1.652534008,0.151453972,0.401097059,muchos,7,over,2.5,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
483,423,n,False,464,20,False,222,False,242,False,2,True,18,1,1.646795034,0.145630836,0.300878048,muchos,7,under,2_u2,senal,azul,3 BS,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
484,73,s,True,465,20,True,223,False,242,False,2,False,18,6,1.65190506,0.150830984,0.300756931,pocos,3,over,2_o3,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
485,239,n,True,466,20,False,223,True,243,False,2,False,18,1,1.651626825,0.150519133,0.601464987,pocos,3,under,2.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
486,481,n,True,467,20,False,223,True,244,False,2,False,18,1,1.651572943,0.150425911,0.501253128,muchos,7,over,3,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
487,46,s,True,468,20,True,224,False,244,False,2,False,18,6,2.353513002,0.852438927,0.601563931,pocos,3,over,2_o3,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
488,226,n,True,469,20,False,224,True,245,False,2,False,18,1,1.651777029,0.150590897,0.300839901,pocos,2,under,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
489,172,n,True,470,20,False,224,True,246,False,2,False,18,1,1.651367903,0.150292873,0.300927162,pocos,3,over,3,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
